name:keypoints_y:keypoints_x
user.png:[512, 608, 608, 768, 608, 928, 1120, 1312, 480, 480, 608, 768, 896, 928, 1120, 1344, 480, 480]:[552, 576, 504, 432, 456, 528, 552, 552, 552, 528, 672, 672, 672, 623, 648, 623, 576, 600]
B008LCVLKW.jpg:[69, 118, 118, 197, 267, 257, -1, -1, 49, -1, 118, 197, 286, 257, -1, -1, 49, 69]:[138, 151, 98, 85, 72, 111, -1, -1, 131, -1, 197, 210, 203, 171, -1, -1, 151, 171]
B00ARFW3SU.jpg:[49, 88, 98, 157, 217, 207, 286, 394, 39, 49, 88, 148, 197, 197, 286, 404, 39, 49]:[174, 182, 144, 136, 129, 159, 159, 167, 167, 159, 212, 220, 220, 197, 205, 228, 182, 190]
B009P8UO90.jpg:[59, 108, 108, 157, 217, 217, 296, 394, 49, 59, 108, 167, 217, 217, 305, 394, 49, 49]:[182, 182, 152, 144, 136, 159, 144, 136, 174, 167, 220, 220, 228, 205, 197, 182, 190, 197]
B008UAEELI.jpg:[-1, 30, 22, 83, -1, -1, -1, -1, -1, -1, 30, 91, 152, 136, -1, -1, -1, -1]:[-1, 174, 136, 106, -1, -1, -1, -1, -1, -1, 205, 212, 220, 190, -1, -1, -1, -1]
B00858C822.jpg:[39, 78, 78, 138, 207, 187, 305, 414, 39, 39, 88, 128, 128, 177, 355, 424, 39, 49]:[182, 167, 136, 129, 129, 152, 121, 129, 174, 159, 197, 212, 205, 190, 182, 182, 182, 190]
B0091PLEKA.jpg:[39, 88, 98, 157, 217, 217, 296, 404, 39, 39, 88, 88, 59, 217, 305, 394, 39, 49]:[167, 167, 136, 129, 121, 144, 152, 159, 159, 152, 190, 212, 197, 182, 182, 190, 174, 182]
B007C3S564.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B00D503BS0.jpg:[49, 98, 98, 158, 207, 207, 296, 395, 49, 49, 98, 148, 207, 207, 296, 385, 49, 49]:[144, 151, 118, 111, 98, 131, 131, 144, 138, 131, 190, 190, 190, 171, 164, 151, 151, 164]
B00CW67BW0.jpg:[59, 118, 118, 168, -1, 257, -1, -1, 49, 59, 118, 197, 247, -1, -1, -1, 49, 59]:[176, 176, 133, 109, -1, 133, -1, -1, 164, 152, 225, 255, 219, -1, -1, -1, 182, 200]
B006O4K7FO.jpg:[49, 88, 88, 148, 197, 207, 296, 394, 39, 39, 98, 157, 207, 207, 296, 404, 39, 49]:[182, 174, 136, 121, 129, 159, 167, 136, 174, 167, 212, 212, 220, 197, 190, 182, 190, 197]
B006TP29CC.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B00BBUR8K8.jpg:[49, 88, 98, 157, 226, 207, 296, 394, 49, 49, 88, 148, 207, 197, 286, 394, 49, 49]:[167, 167, 136, 121, 106, 144, 144, 152, 159, 152, 197, 205, 212, 190, 190, 205, 167, 182]
B006LFT3RY.jpg:[49, 88, 98, 157, 217, 226, 305, 414, 39, 49, 88, 148, 207, 217, 305, 404, 39, 49]:[174, 174, 136, 121, 106, 144, 152, 167, 167, 159, 212, 235, 228, 205, 205, 235, 182, 190]
B00A16E1X0.jpg:[22, 44, 40, 66, 93, 88, 128, 177, 22, 22, 44, 66, 93, 88, 128, 177, 22, 26]:[82, 78, 65, 61, 61, 71, 65, 51, 78, 75, 95, 99, 102, 92, 85, 78, 85, 88]
B00COADNNU.jpg:[39, 89, 89, 148, 207, 207, -1, -1, 29, 39, 98, 158, -1, 197, -1, -1, 29, 39]:[151, 151, 111, 105, 105, 131, -1, -1, 144, 138, 190, 190, -1, 171, -1, -1, 157, 171]
B009ZRKV6W.jpg:[49, 88, 88, 148, 207, 207, 305, 394, 39, 39, 88, 138, 98, 217, 296, 394, 39, 49]:[182, 167, 129, 121, 106, 136, 136, 136, 174, 159, 197, 228, 212, 182, 174, 159, 190, 190]
B00DBDCQ7I.jpg:[30, 76, 76, 129, 174, 182, 243, 296, 30, 30, 76, -1, -1, 182, 243, 296, 30, 30]:[174, 174, 152, 152, 152, 167, 159, 159, 167, 159, 197, -1, -1, 190, 190, 182, 174, 182]
B007C61HRA.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B008BRFJDC.jpg:[49, 78, 88, 157, 217, 217, 305, 414, 39, 39, 78, 157, 207, 217, 305, 394, 39, 39]:[167, 174, 144, 136, 129, 159, 167, 182, 167, 152, 212, 220, 228, 197, 174, 197, 174, 190]
B00ASPCCRQ.jpg:[14, 28, 32, 53, 35, 74, -1, -1, 10, 14, 28, -1, -1, 74, -1, -1, 10, 14]:[66, 70, 56, 46, 56, 60, -1, -1, 63, 60, 83, -1, -1, 76, -1, -1, 70, 73]
B00E9F1JE8.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B009O74H2W.jpg:[-1, 108, 108, -1, -1, -1, -1, -1, -1, -1, 108, 226, 335, -1, -1, -1, -1, -1]:[-1, 182, 91, -1, -1, -1, -1, -1, -1, -1, 266, 288, 288, -1, -1, -1, -1, -1]
B002B32W1Y.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B008R90C2M.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B005P781OA.jpg:[39, 78, 88, 148, 207, 207, 296, 404, 29, 39, 88, 148, 207, 207, 296, 394, 29, 39]:[174, 182, 144, 136, 129, 152, 144, 159, 167, 159, 220, 228, 228, 197, 190, 182, 182, 197]
B008R9F2UO.jpg:[39, 78, 78, 148, 207, 217, 305, 394, 29, 39, 88, 148, 217, 217, 296, 394, 29, 39]:[174, 167, 129, 121, 121, 144, 129, 144, 167, 159, 205, 205, 212, 182, 174, 167, 182, 190]
B007TM4AXK.jpg:[39, 88, 88, 148, 217, 217, 305, 394, 39, 39, 88, 157, 217, 217, 286, 394, 39, 39]:[174, 167, 129, 121, 114, 144, 144, 159, 167, 152, 205, 205, 205, 182, 182, 174, 182, 190]
B005OA1J56.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B0095SIJYW.jpg:[-1, 98, 98, 217, 335, -1, -1, -1, -1, -1, 98, 217, -1, -1, -1, -1, -1, -1]:[-1, 182, 98, 91, 76, -1, -1, -1, -1, -1, 258, 296, -1, -1, -1, -1, -1, -1]
B007LA4EIG.jpg:[-1, 66, 66, -1, -1, -1, -1, -1, -1, -1, 66, 171, 361, -1, -1, -1, -1, -1]:[-1, 182, 106, -1, -1, -1, -1, -1, -1, -1, 273, 281, 273, -1, -1, -1, -1, -1]
B004XQ97RE.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 45, 144, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 258, 281, -1, -1, -1, -1, -1, -1]
B000XSGVWU.jpg:[88, 148, 148, 266, 355, -1, -1, -1, 69, 78, 148, 246, 345, 374, -1, -1, 69, 78]:[167, 174, 121, 98, 83, -1, -1, -1, 159, 144, 235, 266, 250, 212, -1, -1, 182, 197]
B0026JIU8W.jpg:[128, -1, -1, -1, -1, -1, -1, -1, 108, 118, -1, -1, -1, -1, -1, -1, 98, -1]:[164, -1, -1, -1, -1, -1, -1, -1, 148, 116, -1, -1, -1, -1, -1, -1, 175, -1]
B00APRGDOU.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B00A6HOOUY.jpg:[78, 138, 138, 256, 355, 335, -1, -1, 59, 78, 138, 226, -1, 325, -1, -1, 59, 78]:[167, 167, 121, 121, 129, 152, -1, -1, 152, 136, 205, 228, -1, 212, -1, -1, 174, 190]
B009I1WULE.jpg:[316, 326, 326, 336, 336, 356, 356, 385, 306, 316, 326, 336, 336, 356, 356, 385, 316, 316]:[186, 193, 186, 186, 186, 186, 186, 186, 193, 165, 200, 200, 193, 193, 200, 200, 193, 193]
B0016A9A90.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
B009442PDS.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
user.jpg:[122, 220, 244, 391, 513, 538, 758, 1003, 97, 97, 244, 391, 538, 538, 734, 1003, 73, 97]:[383, 383, 300, 266, 283, 333, 333, 333, 366, 350, 483, 516, 516, 450, 450, 466, 400, 433]
B0062YCZME.jpg:[-1, 108, 108, 276, 365, -1, -1, -1, -1, -1, 98, 217, -1, -1, -1, -1, -1, -1]:[-1, 167, 83, 60, 68, -1, -1, -1, -1, -1, 250, 296, -1, -1, -1, -1, -1, -1]
B00BBSZB3Q.jpg:[-1, 88, 88, 226, 355, 345, -1, -1, -1, -1, 88, 197, 315, -1, -1, -1, -1, -1]:[-1, 167, 91, 68, 83, 129, -1, -1, -1, -1, 258, 288, 266, -1, -1, -1, -1, -1]
B007017YSI.jpg:[19, 108, 108, 226, 355, 335, -1, -1, 9, 19, 108, 217, 345, 325, -1, -1, -1, 9]:[167, 167, 83, 76, 68, 121, -1, -1, 152, 136, 250, 273, 273, 220, -1, -1, -1, 197]
B008B9VPGK.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 85, 247, 362, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 288, 311, 304, -1, -1, -1, -1, -1]
B0015GOC66.jpg:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]:[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
